"LION-term","LION:0000001","LION:0000002","LION:0000003","LION:0000004","LION:0000005","LION:0000010","LION:0000011","LION:0000012","LION:0000013","LION:0000014","LION:0000030","LION:0000031","LION:0000032","LION:0000034","LION:0000035","LION:0000038","LION:0000039","LION:0000040","LION:0000042","LION:0000043","LION:0000047","LION:0000053","LION:0000056","LION:0000059","LION:0000077","LION:0000078","LION:0000080","LION:0000084","LION:0000093","LION:0000094","LION:0000095","LION:0000100","LION:0000119","LION:0000128","LION:0000146","LION:0000147","LION:0000151","LION:0000153","LION:0000159","LION:0000164","LION:0000169","LION:0000170","LION:0000172","LION:0000174","LION:0000178","LION:0000183","LION:0000186","LION:0000190","LION:0000191","LION:0000199","LION:0000202","LION:0000203","LION:0000206","LION:0000207","LION:0000210","LION:0000212","LION:0000214","LION:0000254","LION:0000259","LION:0000266","LION:0000283","LION:0000284","LION:0000287","LION:0000288","LION:0000295","LION:0000306","LION:0000307","LION:0000309","LION:0000326","LION:0000327","LION:0000331","LION:0000332","LION:0000333","LION:0000336","LION:0000337","LION:0000341","LION:0000342","LION:0000343","LION:0000344","LION:0000350","LION:0000351","LION:0000352","LION:0000354","LION:0000367","LION:0000370","LION:0000371","LION:0000373","LION:0000376","LION:0000391","LION:0000394","LION:0000396","LION:0000401","LION:0000405","LION:0000453","LION:0000464","LION:0000465","LION:0000466","LION:0000467","LION:0000494","LION:0000495","LION:0000508","LION:0000518","LION:0000541","LION:0000557","LION:0000562","LION:0000580","LION:0000583","LION:0000584","LION:0000586","LION:0000587","LION:0000588","LION:0000591","LION:0000598","LION:0000599","LION:0000603","LION:0000604","LION:0000607","LION:0000622","LION:0000639","LION:0000650","LION:0000658","LION:0000659","LION:0000727","LION:0000732","LION:0000736","LION:0000737","LION:0000738","LION:0000742","LION:0000743","LION:0000744","LION:0000750","LION:0000751","LION:0000752","LION:0000754","LION:0000759","LION:0000760","LION:0000762","LION:0000763","LION:0000764","LION:0000765","LION:0000766","LION:0000769","LION:0000770","LION:0000773","LION:0000775","LION:0000782","LION:0000789","LION:0000794","LION:0000799","LION:0000801","LION:0000841","LION:0001284","LION:0001322","LION:0001325","LION:0001327","LION:0001331","LION:0001360","LION:0001364","LION:0001375","LION:0001376","LION:0001568","LION:0001571","LION:0001572","LION:0001573","LION:0001579","LION:0001580","LION:0001587","LION:0001637","LION:0001655","LION:0001658","LION:0001663","LION:0001672","LION:0001681","LION:0001684","LION:0001694","LION:0001697","LION:0001707","LION:0001710","LION:0001734","LION:0001735","LION:0001736","LION:0001737","LION:0001738","LION:0001739","LION:0001740","LION:0001741","LION:0001742","LION:0001753","LION:0001763","LION:0002113","LION:0002114","LION:0002565","LION:0002567","LION:0002578","LION:0002882","LION:0002900","LION:0002921","LION:0002922","LION:0002923","LION:0002924","LION:0002925","LION:0002926","LION:0002927","LION:0002928","LION:0002929","LION:0002930","LION:0002931","LION:0002932","LION:0002933","LION:0002934","LION:0002935","LION:0002937","LION:0002938","LION:0002945","LION:0002946","LION:0002947","LION:0002948","LION:0002949","LION:0002950","LION:0002951","LION:0002953","LION:0002954","LION:0002955","LION:0002956","LION:0002957","LION:0002958","LION:0002959","LION:0002960","LION:0002961","LION:0002963","LION:0002964","LION:0002965","LION:0002966","LION:0002967","LION:0002968","LION:0002969","LION:0002970","LION:0002971","LION:0002972","LION:0002973","LION:0002974","LION:0002976","LION:0002977","LION:0002978","LION:0002979","LION:0002980","LION:0002996","LION:0002998","LION:0003021","LION:0003061","LION:0003067","LION:0003071","LION:0003130","LION:0003173","LION:0003458","LION:0003474","LION:0003551","LION:0003697","LION:0003721","LION:0004176","LION:0004185","LION:0005288","LION:0005896","LION:0012009","LION:0012010","LION:0012011","LION:0012017","LION:0012080","LION:0012081","LION:0012082","LION:0012084","LION:0012085","LION:0012086","LION:0012441","LION:0014737","LION:0014813","LION:0016487","LION:0016501","LION:0017371","LION:0017374","LION:0022229","LION:0022231","LION:0022234","LION:0022242","LION:0022245","LION:0022260","LION:0022265","LION:0022272","LION:0022282","LION:0022296","LION:0041175","LION:0041232","LION:0041236","LION:0041237","LION:0041240","LION:0041262","LION:0041265","LION:0041278","LION:0041279","LION:0041336","LION:0052716","LION:0052720","LION:0052725","LION:0052783","LION:0052784","LION:0052825","LION:0066215","LION:0066937","LION:0071625","LION:0080654","LION:0080968","LION:0080969","LION:0080970","LION:0080971","LION:0080972","LION:0080973","LION:0080974","LION:0080976","LION:0080977","LION:0080978","LION:0080979","LION:0080980","LION:0080981","LION:0080982","LION:0143668","LION:0143673","LION:0143686","LION:0143694","LION:0143697","LION:0143699","LION:0143709","LION:0143719","LION:0144053","LION:0144055","LION:0144056","LION:0144058","LION:0144063","LION:0144082","LION:0144083","LION:0144161","LION:0144163","LION:0144166","LION:0144170","LION:0144171","LION:0144175","LION:0144176"
"[#0205] PC O-29:0","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0206] PC O-30:0|PC O-14:0_16:0","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0207] PC O-31:0","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0208] PC O-31:0|PC O-15:0_16:0","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0209] PC O-32:0 ","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0210] PC O-32:2 ","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0211] PC O-33:0 ","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0212] PC O-33:6 ","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0213] PC O-34:0 Isomer A","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0214] PC O-34:0 Isomer B","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0215] PC O-34:1|PC O-16:0_18:1","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0216] PC O-34:2 ","","","x","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
